Nome;CPF;Contrato;Produto;Vencimento;Valor
Juliano de Souza;871.876.120-87;6039;Financiamento imobiliário;22/01/2020;6565,55
Emanual Pereira;297.545.720-03;4849;Cartão de crédito;18/11/2020;16052,96
Silvia Santos;681.941.770-57;3031;Crédito pessoal;06/09/2020;58264,39
Silvia Santos;681.941.770-57;2579;Financiamento veículo;18/04/2020;71962,28
Silvia Santos;681.941.770-57;7037;Crédito pessoal;13/05/2019;70781,23
Judite Eusébio;681.941.770-57;7273;Cartão de crédito;08/12/2019;34287,68
Epaminondas Carneiro;140.008.850-06;3977;Crédito pessoal;04/01/2020;70717,2
Epaminondas Carneiro;140.008.850-06;7213;Financiamento imobiliário;04/03/2020;56702,37
Epaminondas Carneiro;140.008.850-06;3434;Crédito pessoal;17/11/2020;57943,02
Epaminondas Carneiro;140.008.850-06;7641;Cheque especial;28/03/2019;3610,2
Alcebíades Eustáquio;083.595.090-50;4036;Financiamento veículo;20/02/2020;5988,46
Alcebíades Eustáquio;083.595.090-50;5844;Cheque especial;20/07/2019;25532,82
Alcebíades Eustáquio;083.595.090-50;6588;Financiamento veículo;11/01/2021;52613,57
Alcebíades Eustáquio;083.595.090-50;5695;Financiamento veículo;07/10/2020;47521,65
Maria Antonieta;052.566.140-96;9599;Financiamento imobiliário;20/09/2019;14073,91
Marcelo Ferreira;101.644.400-11;2889;Crédito pessoal;05/08/2019;24027,42
Carla Osório;284.805.630-44;6618;Financiamento veículo;23/10/2019;98143,91
Carla Osório;284.805.630-44;9396;Financiamento imobiliário;10/09/2020;27261,76
Carla Osório;284.805.630-44;6681;Financiamento veículo;25/07/2020;44035,18
Joana Almeirda;350.823.350-22;5817;Cheque especial;03/06/2020;24535,85
